Date,Code Cost Bucket, Description,Code Sub CB,Code and Description,Amount
2023-01-01,C09,Consumables & Utilities,C09_6,Other consumables,38694
2023-01-02,C01,Manpower,C01_6,Pensions,30154
2023-01-03,C01,Manpower,C01_9,Payroll Tax,161482
2023-01-05,C10,Other External Services Excl TP,C10_14,Consultancy fees,8293
2023-01-06,C08,Maintenance,C08_7,Safety & Security Equip. Maintenance,129894
2023-01-07,C01,Manpower,C01_8,Staff welfare,110387
2023-01-09,C10,Other External Services Excl TP,C10_17,Legal expenses,129160
2023-01-10,C01,Manpower,C01_4,LTI,53636
2023-01-11,C06,Sales Promotion & Advertising,C06_3,Public relations,51538
2023-01-13,C10,Other External Services Excl TP,C10_26,Prior year expenses,199103
2023-01-14,C11,IT Costs,C11_1,License & patents fees,151696
2023-01-15,C01,Manpower,C01_5,Pensions,83158
2023-01-17,C10,Other External Services Excl TP,C10_21,Risk provisions Additions,124248
2023-01-18,C09,Consumables & Utilities,C09_2,Electricity,20466
2023-01-19,C08,Maintenance,C08_5,Fuel Systems,166014
2023-01-21,C10,Other External Services Excl TP,C10_3,Secondary Transport,43944
2023-01-22,C10,Other External Services Excl TP,C10_6,Direct processing plants,60274
2023-01-23,C10,Other External Services Excl TP,C10_2,Direct Secondary transport,188095
2023-01-25,C09,Consumables & Utilities,C09_5,Security,73652
2023-01-26,C12,Telecoms,C12_2,Telecom Voice,29537
2023-01-27,C03,Training,C03_1,Travel training expenses,37773
2023-01-29,C15,Bad Debt,C15_2,Bad debt recovery,144535
2023-01-30,C07,Rental & Leasing,C07_1,Leasing,104465
2023-01-31,C06,Sales Promotion & Advertising,C06_4,Other SP&A costs,49176
2023-02-02,C10,Other External Services Excl TP,C10_7,Production Services,119009
2023-02-03,C08,Maintenance,C08_4,LPG cylinders maintenance,1174
2023-02-04,C14,Financial services,C14_2,Forex charges,36595
2023-02-06,C13,Insurance,C13_2,General Liability Ins.,20810
2023-02-07,C07,Rental & Leasing,C07_2,Leasing,176474
2023-02-08,C10,Other External Services Excl TP,C10_9,Throughput  Expenses,42139
2023-02-10,C14,Financial services,C14_3,Credit management Cost,68450
2023-02-11,C10,Other External Services Excl TP,C10_5,Storage and Handling,166583
2023-02-12,C01,Manpower,C01_9,Payroll Tax,129023
2023-02-14,C14,Financial services,C14_4,Other charges,11748
2023-02-15,C09,Consumables & Utilities,C09_1,Office consumables,4466
2023-02-16,C07,Rental & Leasing,C07_4,Leasing,39264
2023-02-18,C10,Other External Services Excl TP,C10_20,Other taxes,165289
2023-02-19,C02,Travel & Entertainment,C02_1,Travel,105001
2023-02-20,C10,Other External Services Excl TP,C10_8,Filling Services,197433
2023-02-22,C01,Manpower,C01_1,Salaries & Wages,11623
2023-02-23,C09,Consumables & Utilities,C09_3,Other utilities,104680
2023-02-24,C09,Consumables & Utilities,C09_4,Other equipements & materials,102417
2023-02-26,C08,Maintenance,C08_6,Electricity Systems,37169
2023-02-27,C02,Travel & Entertainment,C02_2,Accommodation and Meals,51028
2023-02-28,C04,Contract Labour,C04_1,Contract Labor,9853
2023-03-02,C10,Other External Services Excl TP,C10_4,Direct Storage & handling expenses,110991
2023-03-03,C10,Other External Services Excl TP,C10_11,Environmental Clean up costs,72393
2023-03-04,C11,IT Costs,C11_2,Other IT costs,185711
2023-03-06,C10,Other External Services Excl TP,C10_15,Audit fees,125053
2023-03-07,C10,Other External Services Excl TP,C10_19,Recoveries,131941
2023-03-08,C12,Telecoms,C12_1,Telecom Data,141876
2023-03-10,C13,Insurance,C13_5,Other Insurance,28383
2023-03-11,C06,Sales Promotion & Advertising,C06_2,Advertising,189891
2023-03-12,C10,Other External Services Excl TP,C10_23,Stock provisions Additions,15336
2023-03-14,C10,Other External Services Excl TP,C10_16,Accounting Services,142907
2023-03-15,C08,Maintenance,C08_2,Building & structure maintenance,53763
2023-03-16,C01,Manpower,C01_2,Manpower Allowances,56725
2023-03-18,C01,Manpower,C01_7,Holiday Provisions,37757
2023-03-19,C02,Travel & Entertainment,C02_3,Travel Allowances,185814
2023-03-20,C03,Training,C03_2,Other Training expenses,2822
2023-03-22,C10,Other External Services Excl TP,C10_13,Recruitment Cost,61613
2023-03-23,C12,Telecoms,C12_3,Telecom Other,187988
2023-03-24,C10,Other External Services Excl TP,C10_27,Other Miscellaneous expenses,190074
2023-03-26,C06,Sales Promotion & Advertising,C06_1,Sales promotion,14964
2023-03-27,C14,Financial services,C14_1,Bank charges,132668
